gene,rna_col,queries,gs_names
NF1,rna_NF1,ecm_remodelling; inflammatory_response,GOBP_COLLAGEN_FIBRIL_ORGANIZATION; HP_INCREASED_INFLAMMATORY_RESPONSE
NFIX,rna_NFIX,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
NFKB2,rna_NFKB2,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
NFS1,rna_NFS1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
NGF,rna_NGF,inflammatory_response; kinase_signalling,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; HP_INCREASED_INFLAMMATORY_RESPONSE
NHEJ1,rna_NHEJ1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
NHLRC1,rna_NHLRC1,ecm_remodelling; inflammatory_response,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; HP_INCREASED_INFLAMMATORY_RESPONSE
NHP2,rna_NHP2,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
NIPAL4,rna_NIPAL4,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
NIPBL,rna_NIPBL,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
NKX2-1,rna_NKX2-1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
NKX2-5,rna_NKX2-5,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
NME5,rna_NME5,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
NODAL,rna_NODAL,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
NOP10,rna_NOP10,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
NOS1,rna_NOS1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
NPHP1,rna_NPHP1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
NPHS1,rna_NPHS1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
NPHS2,rna_NPHS2,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
NPM1,rna_NPM1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
NRAS,rna_NRAS,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
NRTN,rna_NRTN,inflammatory_response; kinase_signalling,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; GOMF_RECEPTOR_TYROSINE_KINASE_BINDING; HP_INCREASED_INFLAMMATORY_RESPONSE
NSD1,rna_NSD1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
NSMCE2,rna_NSMCE2,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
NSUN2,rna_NSUN2,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
NTRK1,rna_NTRK1,inflammatory_response; kinase_activity; kinase_signalling,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; GOMF_PROTEIN_TYROSINE_KINASE_ACTIVITY; GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY; HP_INCREASED_INFLAMMATORY_RESPONSE
NUMA1,rna_NUMA1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
NUP107,rna_NUP107,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
NUP133,rna_NUP133,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
NUP160,rna_NUP160,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
NUP205,rna_NUP205,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
NUP37,rna_NUP37,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
NUP85,rna_NUP85,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
NUP93,rna_NUP93,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
NXN,rna_NXN,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
OBSCN,rna_OBSCN,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
OCRL,rna_OCRL,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
OFD1,rna_OFD1,inflammatory_response; kinase_signalling,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; HP_INCREASED_INFLAMMATORY_RESPONSE
OPLAH,rna_OPLAH,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
ORAI1,rna_ORAI1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
OSTM1,rna_OSTM1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
P4HA2,rna_P4HA2,ecm_remodelling; inflammatory_response,GOMF_PROCOLLAGEN_PROLINE_4_DIOXYGENASE_ACTIVITY; GOMF_PROCOLLAGEN_PROLINE_DIOXYGENASE_ACTIVITY; HP_INCREASED_INFLAMMATORY_RESPONSE
P4HTM,rna_P4HTM,ecm_remodelling; inflammatory_response,GOMF_PROCOLLAGEN_PROLINE_4_DIOXYGENASE_ACTIVITY; GOMF_PROCOLLAGEN_PROLINE_DIOXYGENASE_ACTIVITY; HP_INCREASED_INFLAMMATORY_RESPONSE
PAFAH1B1,rna_PAFAH1B1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PAH,rna_PAH,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PANK2,rna_PANK2,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PAPSS2,rna_PAPSS2,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PARN,rna_PARN,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PAX1,rna_PAX1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PAX2,rna_PAX2,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PAX6,rna_PAX6,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PCCA,rna_PCCA,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PCCB,rna_PCCB,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PCYT1A,rna_PCYT1A,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PDE11A,rna_PDE11A,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PDGFRA,rna_PDGFRA,inflammatory_response; kinase_activity; kinase_signalling,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; GOMF_PROTEIN_TYROSINE_KINASE_ACTIVITY; GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY; HP_INCREASED_INFLAMMATORY_RESPONSE
PDGFRL,rna_PDGFRL,inflammatory_response; kinase_activity; kinase_signalling,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; GOMF_PROTEIN_TYROSINE_KINASE_ACTIVITY; GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY; HP_INCREASED_INFLAMMATORY_RESPONSE
PDHA1,rna_PDHA1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PEPD,rna_PEPD,ecm_remodelling; inflammatory_response; metalloprotease_activity,GOBP_COLLAGEN_CATABOLIC_PROCESS; GOBP_COLLAGEN_METABOLIC_PROCESS; GOBP_PROTEOLYSIS; GOMF_METALLOEXOPEPTIDASE_ACTIVITY; GOMF_METALLOPEPTIDASE_ACTIVITY; HP_INCREASED_INFLAMMATORY_RESPONSE
PGM1,rna_PGM1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PGM2L1,rna_PGM2L1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PGM3,rna_PGM3,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PHGDH,rna_PHGDH,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PHIP,rna_PHIP,inflammatory_response; kinase_signalling,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; HP_INCREASED_INFLAMMATORY_RESPONSE
PI4KA,rna_PI4KA,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PIGA,rna_PIGA,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PIGG,rna_PIGG,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PIGH,rna_PIGH,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PIGN,rna_PIGN,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PIGY,rna_PIGY,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PIK3CA,rna_PIK3CA,inflammatory_response; kinase_signalling,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; HP_INCREASED_INFLAMMATORY_RESPONSE
PIK3R1,rna_PIK3R1,inflammatory_response; kinase_signalling,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; GOMF_RECEPTOR_TYROSINE_KINASE_BINDING; HP_INCREASED_INFLAMMATORY_RESPONSE
PKD1,rna_PKD1,ecm_remodelling; inflammatory_response,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; GOBP_REGULATION_OF_PROTEOLYSIS; GOBP_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; HP_INCREASED_INFLAMMATORY_RESPONSE
PKD2,rna_PKD2,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PKHD1,rna_PKHD1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PKP1,rna_PKP1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PLA2G6,rna_PLA2G6,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PLCD1,rna_PLCD1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PLCE1,rna_PLCE1,inflammatory_response; kinase_signalling,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; HP_INCREASED_INFLAMMATORY_RESPONSE
PLCH1,rna_PLCH1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PLEC,rna_PLEC,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PLEKHM1,rna_PLEKHM1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PLG,rna_PLG,ecm_remodelling; inflammatory_response,GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY; GOBP_PROTEOLYSIS; HP_INCREASED_INFLAMMATORY_RESPONSE
PLOD1,rna_PLOD1,ecm_remodelling; inflammatory_response,GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS; GOBP_COLLAGEN_FIBRIL_ORGANIZATION; GOBP_COLLAGEN_METABOLIC_PROCESS; HP_ELEVATED_URINARY_COLLAGEN_DEGRADATION_PRODUCTS; HP_INCREASED_INFLAMMATORY_RESPONSE
PLXND1,rna_PLXND1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PML,rna_PML,ecm_remodelling; inflammatory_response,GOBP_NEGATIVE_REGULATION_OF_PROTEOLYSIS; GOBP_NEGATIVE_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; GOBP_REGULATION_OF_PROTEOLYSIS; GOBP_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; HP_INCREASED_INFLAMMATORY_RESPONSE
PMM2,rna_PMM2,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PNP,rna_PNP,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PNPLA1,rna_PNPLA1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PNPLA2,rna_PNPLA2,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
POFUT1,rna_POFUT1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
POGZ,rna_POGZ,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
POLA1,rna_POLA1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
POLD3,rna_POLD3,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
POLE,rna_POLE,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
POLG,rna_POLG,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
POLH,rna_POLH,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
POLR1A,rna_POLR1A,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
POLR3A,rna_POLR3A,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
POMP,rna_POMP,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
POU2AF1,rna_POU2AF1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PPFIA3,rna_PPFIA3,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PPOX,rna_PPOX,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PRDM12,rna_PRDM12,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PRF1,rna_PRF1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PRG4,rna_PRG4,ecm_remodelling; inflammatory_response,GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_COMPRESSION_RESISTANCE; HP_INCREASED_INFLAMMATORY_RESPONSE
PRKACA,rna_PRKACA,ecm_remodelling; inflammatory_response,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; GOBP_REGULATION_OF_PROTEOLYSIS; GOBP_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; HP_INCREASED_INFLAMMATORY_RESPONSE
PRKDC,rna_PRKDC,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PRMT7,rna_PRMT7,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PRSS1,rna_PRSS1,ecm_remodelling; inflammatory_response,GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY; GOBP_PROTEOLYSIS; HP_INCREASED_INFLAMMATORY_RESPONSE
PRTN3,rna_PRTN3,ecm_remodelling; inflammatory_response,GOBP_COLLAGEN_CATABOLIC_PROCESS; GOBP_COLLAGEN_METABOLIC_PROCESS; GOBP_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS; GOBP_MEMBRANE_PROTEIN_PROTEOLYSIS; GOBP_PROTEOLYSIS; HP_INCREASED_INFLAMMATORY_RESPONSE
PSENEN,rna_PSENEN,ecm_remodelling; inflammatory_response,GOBP_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS; GOBP_MEMBRANE_PROTEIN_INTRACELLULAR_DOMAIN_PROTEOLYSIS; GOBP_MEMBRANE_PROTEIN_PROTEOLYSIS; GOBP_POSITIVE_REGULATION_OF_PROTEOLYSIS; GOBP_PROTEOLYSIS; GOBP_REGULATION_OF_PROTEOLYSIS; HP_INCREASED_INFLAMMATORY_RESPONSE
PSKH1,rna_PSKH1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PSMB10,rna_PSMB10,ecm_remodelling; inflammatory_response,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; HP_INCREASED_INFLAMMATORY_RESPONSE
PSMB8,rna_PSMB8,ecm_remodelling; inflammatory_response,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; HP_INCREASED_INFLAMMATORY_RESPONSE
PSMB9,rna_PSMB9,ecm_remodelling; inflammatory_response,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; HP_INCREASED_INFLAMMATORY_RESPONSE
PSMD12,rna_PSMD12,ecm_remodelling; inflammatory_response,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; GOBP_REGULATION_OF_PROTEOLYSIS; GOBP_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; HP_INCREASED_INFLAMMATORY_RESPONSE
PSMG2,rna_PSMG2,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PSPH,rna_PSPH,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PTCD3,rna_PTCD3,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PTCH1,rna_PTCH1,ecm_remodelling; inflammatory_response,GOBP_PROTEOLYSIS; HP_INCREASED_INFLAMMATORY_RESPONSE
PTCRA,rna_PTCRA,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PTEN,rna_PTEN,ecm_remodelling; inflammatory_response,GOBP_POSITIVE_REGULATION_OF_PROTEOLYSIS; GOBP_POSITIVE_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; GOBP_REGULATION_OF_PROTEOLYSIS; GOBP_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; HP_INCREASED_INFLAMMATORY_RESPONSE
PTPRO,rna_PTPRO,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
PURA,rna_PURA,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RAB32,rna_RAB32,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RAB7A,rna_RAB7A,inflammatory_response; kinase_signalling,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; HP_INCREASED_INFLAMMATORY_RESPONSE
RAC2,rna_RAC2,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RAD21,rna_RAD21,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RAG1,rna_RAG1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RAG2,rna_RAG2,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RAI1,rna_RAI1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RANBP2,rna_RANBP2,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RAP1B,rna_RAP1B,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RARA,rna_RARA,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RBCK1,rna_RBCK1,ecm_remodelling; inflammatory_response,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; HP_INCREASED_INFLAMMATORY_RESPONSE
RBM8A,rna_RBM8A,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RBP4,rna_RBP4,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RECQL,rna_RECQL,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RET,rna_RET,ecm_remodelling; inflammatory_response; kinase_activity; kinase_signalling,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; GOBP_MEMBRANE_PROTEIN_PROTEOLYSIS; GOBP_PROTEOLYSIS; GOMF_PROTEIN_TYROSINE_KINASE_ACTIVITY; GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY; HP_INCREASED_INFLAMMATORY_RESPONSE
REV3L,rna_REV3L,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RFC2,rna_RFC2,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RFX5,rna_RFX5,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RFX7,rna_RFX7,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RFXANK,rna_RFXANK,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RFXAP,rna_RFXAP,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RHOH,rna_RHOH,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RILPL1,rna_RILPL1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RIN2,rna_RIN2,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RIT1,rna_RIT1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RMRP,rna_RMRP,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RNASEH2A,rna_RNASEH2A,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RNASEH2B,rna_RNASEH2B,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RNASEH2C,rna_RNASEH2C,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RNF113A,rna_RNF113A,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RNF125,rna_RNF125,ecm_remodelling; inflammatory_response,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; HP_INCREASED_INFLAMMATORY_RESPONSE
RNF168,rna_RNF168,ecm_remodelling; inflammatory_response,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; HP_INCREASED_INFLAMMATORY_RESPONSE
RNF2,rna_RNF2,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RNF31,rna_RNF31,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RNU4ATAC,rna_RNU4ATAC,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
ROR2,rna_ROR2,inflammatory_response; kinase_activity; kinase_signalling,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; GOMF_PROTEIN_TYROSINE_KINASE_ACTIVITY; GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY; HP_INCREASED_INFLAMMATORY_RESPONSE
RORC,rna_RORC,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RPGR,rna_RPGR,ecm_remodelling; inflammatory_response,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; HP_INCREASED_INFLAMMATORY_RESPONSE
RPL11,rna_RPL11,ecm_remodelling; inflammatory_response,GOBP_NEGATIVE_REGULATION_OF_PROTEOLYSIS; GOBP_NEGATIVE_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; GOBP_REGULATION_OF_PROTEOLYSIS; GOBP_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; HP_INCREASED_INFLAMMATORY_RESPONSE
RRAS2,rna_RRAS2,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RREB1,rna_RREB1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RRM1,rna_RRM1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RSPH1,rna_RSPH1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RSPH3,rna_RSPH3,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RSPH4A,rna_RSPH4A,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RSPH9,rna_RSPH9,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RTEL1,rna_RTEL1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RTL1,rna_RTL1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RTTN,rna_RTTN,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
RUNX1,rna_RUNX1,ecm_remodelling; inflammatory_response,GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS; GOBP_COLLAGEN_METABOLIC_PROCESS; GOBP_POSITIVE_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS; GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION; GOBP_PROTEOLYSIS; GOBP_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS; GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION; GOBP_REGULATION_OF_PROTEOLYSIS; HP_IMPAIRED_COLLAGEN_INDUCED_PLATELET_AGGREGATION; HP_INCREASED_INFLAMMATORY_RESPONSE
RUNX2,rna_RUNX2,inflammatory_response; kinase_signalling,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; HP_INCREASED_INFLAMMATORY_RESPONSE
RYR1,rna_RYR1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
SAMD9,rna_SAMD9,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
SAMHD1,rna_SAMHD1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
SASH3,rna_SASH3,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
SAT1,rna_SAT1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
SBDS,rna_SBDS,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
SCAPER,rna_SCAPER,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
SCLT1,rna_SCLT1,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
SCNN1A,rna_SCNN1A,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
SCNN1G,rna_SCNN1G,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
SDCCAG8,rna_SDCCAG8,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
SDHA,rna_SDHA,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
SDHB,rna_SDHB,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
SDHC,rna_SDHC,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
SDHD,rna_SDHD,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
SDR9C7,rna_SDR9C7,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
SEC23B,rna_SEC23B,inflammatory_response,HP_INCREASED_INFLAMMATORY_RESPONSE
