gene,rna_col,queries,gs_names
GGT5,rna_GGT5,ecm_remodelling; inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_PROTEOLYSIS
GHRL,rna_GHRL,inflammatory_response; kinase_signalling,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; GOBP_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE
GHSR,rna_GHSR,inflammatory_response; kinase_signalling,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; GOBP_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE
GIT1,rna_GIT1,inflammatory_response; kinase_signalling,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; GOBP_INFLAMMATORY_RESPONSE; GOBP_INFLAMMATORY_RESPONSE_TO_WOUNDING; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_WOUNDING; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_WOUNDING
GNA14,rna_GNA14,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE
GNAS,rna_GNAS,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; HP_INCREASED_INFLAMMATORY_RESPONSE
GNAT2,rna_GNAT2,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_NEUROINFLAMMATORY_RESPONSE
GPR141,rna_GPR141,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE
GPR17,rna_GPR17,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS
GPR31,rna_GPR31,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE
GPR32,rna_GPR32,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE
GPR4,rna_GPR4,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE
GPR68,rna_GPR68,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE
GPS2,rna_GPS2,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE
GPX1,rna_GPX1,ecm_remodelling; inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_REGULATION_OF_PROTEOLYSIS; GOBP_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
GSDMA,rna_GSDMA,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_PYROPTOTIC_INFLAMMATORY_RESPONSE
GSDMB,rna_GSDMB,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_PYROPTOTIC_INFLAMMATORY_RESPONSE
GSDMC,rna_GSDMC,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_PYROPTOTIC_INFLAMMATORY_RESPONSE
GSDMD,rna_GSDMD,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_PYROPTOTIC_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE
GUSB,rna_GUSB,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; HP_INCREASED_INFLAMMATORY_RESPONSE
GZMA,rna_GZMA,ecm_remodelling; inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; GOBP_PYROPTOTIC_INFLAMMATORY_RESPONSE
GZMB,rna_GZMB,ecm_remodelling; inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; GOBP_PYROPTOTIC_INFLAMMATORY_RESPONSE
GZMK,rna_GZMK,ecm_remodelling; inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_PROTEOLYSIS; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE
