gene_feature,p_value
rna_BTD,1.2491969135380138e-8
rna_RCN3,1.3338255734619728e-8
rna_SRC,1.3932262428570289e-8
rna_CARD14,1.4385403743850792e-8
rna_SAA2,1.5325455375636986e-8
rna_DYRK4,1.5330425377110995e-8
rna_CTRL,1.604179630244788e-8
rna_FBXO46,1.6282795290454336e-8
rna_ACHE,1.6473247928790318e-8
rna_SLC19A1,1.698014954834603e-8
rna_CTSO,1.705936050808706e-8
rna_ZYG11B,1.723788725992189e-8
rna_STYK1,1.7350104783524974e-8
rna_MAP3K8,1.739609940932672e-8
rna_PDGFRL,1.7396403441578464e-8
rna_RIN2,1.745013184259431e-8
rna_NDFIP2,1.804286804153327e-8
rna_TTK,1.9405512286673085e-8
rna_CAT,1.9501859790880314e-8
rna_NAA10,1.9844782207893252e-8
rna_JAK1,1.9879118473794328e-8
rna_TLR9,2.006245920502154e-8
rna_ELMO2,2.0353175969322892e-8
rna_IL27,2.1344273799500492e-8
rna_ZBTB16,2.1886926343911403e-8
rna_ATE1,2.4186419204982834e-8
rna_COL22A1,2.4311667590697344e-8
rna_NUP85,2.4379174863643666e-8
rna_HAPLN3,2.470050464271521e-8
rna_FLT1,2.5261017574415144e-8
rna_UHRF1,2.5276196596008252e-8
rna_TRIM11,2.5572637592353506e-8
rna_BBS12,2.591318250039248e-8
rna_SNF8,2.619726820179293e-8
rna_SERPINH1,2.685641290584832e-8
rna_STON1,2.7216876114098337e-8
rna_SCAPER,2.775783961346689e-8
rna_SLC4A4,3.023172034719025e-8
rna_LGALS1,3.045556724091613e-8
rna_LAT,3.118345647228137e-8
rna_F2RL1,3.18150585861851e-8
rna_RAPGEF2,3.3332231246826646e-8
rna_DCBLD2,3.424253807288422e-8
rna_AFG3L2,3.4899552063778945e-8
rna_MMP3,3.652831027073662e-8
rna_HAMP,3.840505423060968e-8
rna_CDK2,3.849997671302997e-8
rna_DPP4,3.8866982531578774e-8
rna_GORAB,3.9082258443175435e-8
rna_TNIP2,3.917573104240805e-8
rna_RALB,3.9441580797850656e-8
rna_GNA14,3.993524269126373e-8
