query,gs_name,gene_symbol
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,EXT1
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,FKBP10
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,FMOD
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,FOXC1
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,FOXC2
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,GREM1
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,LOX
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,LOXL1
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,LOXL2
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,LOXL3
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,LOXL4
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,LUM
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,MIR29B1
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,MMP11
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,NF1
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,OPTC
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,P3H1
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,P3H4
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,P4HA1
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,P4HA3
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,PLOD1
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,PLOD2
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,PLOD3
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,PXDN
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,RB1
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,SCX
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,SELENON
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,SERPINF2
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,SERPINH1
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,SFRP2
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,TGFB2
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,TGFBR1
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,TLL1
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,TLL2
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,TNXB
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,VIPAS39
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,VPS33B
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,ADAM15
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,ADAMTS14
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,ADAMTS2
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,ADAMTS3
