feature,n,events,hazard_ratio,conf_low,conf_high,p_value,p_adjust_bh,abs_log_hr
NDRG1_NDRG1_pT346,454,158,0.7509863260199754,0.649079148717729,0.8688932050631072,1.1873295345450541e-4,7.819997968900184e-4,0.28636783508020197
SRC_Src_pY416,454,158,0.7214899224514931,0.610325610385012,0.8529016304439268,1.3146127136839827e-4,8.253969445878616e-4,0.3264368683619559
YAP1_YAP_pS127,454,158,1.365689045097499,1.1638267870818353,1.6025637050130659,1.339649491215901e-4,8.253969445878616e-4,0.31165909621403914
YBX1_YB_1_pS102,454,158,1.322203309801436,1.1442550174205928,1.527825148969637,1.5238247245079952e-4,9.095328824407096e-4,0.27929951916744916
MAP2K1_MEK1,454,158,0.7469783746982658,0.6417051385650681,0.8695219326349288,1.6730650493562723e-4,9.683497709910546e-4,0.29171904380214636
CDKN1B_p27_pT198,454,158,1.301854151997998,1.131904241687662,1.4973212138046719,2.1907592412912603e-4,0.0012306912208430315,0.2637895190771267
RPS6_S6,454,158,1.375156986286377,1.1595046535739697,1.630917763980835,2.517708078826732e-4,0.0013739492658740168,0.3185678964460635
EEF2_eEF2,454,158,1.315198482299756,1.1352840443309873,1.5236249082166093,2.617299032667277e-4,0.001388622542331805,0.273987591349949
ERBB2_HER2_pY1248,454,158,0.7098934922330365,0.5890433565128971,0.8555376522675074,3.19872837608026e-4,0.0016512354590035936,0.34264033113892745
FOXO3_FOXO3a_pS318_S321,454,158,1.3010525379361393,1.1261927968661594,1.5030620966325006,3.518267887736006e-4,0.0017683925435725714,0.26317358144839675
EIF4EBP1_4E_BP1_pT37T46,454,158,1.255928775224411,1.107518252298123,1.4242267205652284,3.828870469653957e-4,0.0018751647684715534,0.2278753588141923
MSH6_MSH6,454,158,1.3026897724005675,1.1224334861447085,1.511894169289118,5.015157015300188e-4,0.0023947374748058397,0.2644311826124679
DIABLO_Smac,454,158,1.3176632895429683,1.1274667130123932,1.5399448379014908,5.235894814239158e-4,0.0024391607549260467,0.2758599326856297
PECAM1_CD31,454,158,0.7475654983147579,0.6330063832824688,0.8828570912233797,6.080385321232922e-4,0.0027651276103702097,0.29093335439242496
TSC2_Tuberin,454,158,0.7782853909163366,0.6695817340010053,0.9046366096254436,0.0010920300534886511,0.004850645121310055,0.2506619956974768
RAB11A_RAB11B_Rab11,454,158,0.7613541857803561,0.6462063180926637,0.8970203168489412,0.0011183732014190355,0.004854756397068995,0.2726566078706767
YBX1_YB_1,454,158,1.3217090028953107,1.1161065541158708,1.5651863004409499,0.00122368593421357,0.005193866965217597,0.27892559836114184
ACACA_ACACB_ACC_pS79,454,158,1.254226948704967,1.090735094665763,1.4422248321805553,0.0014790542759938092,0.006141290580756904,0.22651940566437784
MYC_c_Myc,454,158,1.2336963467229989,1.0824371758494777,1.4060923902795834,0.0016497697455709439,0.006564708779251047,0.2100148228547775
TIGAR_TIGAR,454,158,1.2310790884872953,1.0815865979687669,1.401233821644002,0.0016477220639310077,0.006564708779251047,0.2078910924880933
EIF4EBP1_4E_BP1,454,158,1.2672875323263306,1.0926444276388876,1.469844762820261,0.001741497542850538,0.006788286340499036,0.23687881507621353
DVL3_Dvl3,454,158,1.2867904512684134,1.0982707944821868,1.5076697603128546,0.001810259351595104,0.006915190723093297,0.2521510958301891
EGFR_EGFR_pY1173,454,158,0.757044087655024,0.6349755706407223,0.9025792127327434,0.0019190748609011715,0.007187123498669093,0.2783337872735628
MTOR_mTOR_pS2448,454,158,0.7819162576161078,0.6684857532559378,0.914593962468936,0.002095432822000783,0.0075514654528707455,0.24600763161852848
RB1_Rb_pS807_S811,454,158,1.2429234445734991,1.082169519529788,1.427557015042991,0.0020875902523389395,0.0075514654528707455,0.21746622139092886
NFKB1_NF_kB_p65_pS536,454,158,0.7822776028987566,0.6674856823133378,0.9168110481053781,0.002423959143682871,0.008573633267470897,0.24554561051206839
G6PD_G6PD,454,158,1.2374793925542324,1.0751550583267597,1.424311065772789,0.002977602808194514,0.010340402479366403,0.21307656284062587
ERBB2_HER2,454,158,0.8024600279831525,0.6919558542617046,0.9306115304101129,0.0035994582545439214,0.01227672368960516,0.22007323458528197
RPS6KB1_p70S6K_pT389,454,158,0.6876428492168657,0.533736875530191,0.885928459804052,0.0037686643549565517,0.01262833143502985,0.3744856903457489
SYK_Syk,454,158,1.2646376614133428,1.0773334493489943,1.4845064131550267,0.004095016961574944,0.01348531447691059,0.23478564748418446
CHEK2_Chk2,454,158,1.2785334889245743,1.080223214330331,1.513250095550873,0.004272337857871468,0.01360027551422417,0.24571370932437128
MAPK9_JNK2,454,158,0.7831038205708317,0.66233609777882,0.9258918483368276,0.004223345519276179,0.01360027551422417,0.2444899984594273
PRKAA1_AMPK_alpha,454,158,0.7899039810802461,0.6694427447457001,0.9320413197747625,0.005212452960318699,0.016320959269194614,0.23584388384440852
CASP7_Caspase_7_cleavedD198,454,158,1.227295052728642,1.0614249815761796,1.4190858257504606,0.005698704869377744,0.017239329739076662,0.2048126035927837
TSC1_TSC1,454,158,0.8168316433203637,0.7076983316490757,0.9427942722073497,0.00569207933670142,0.017239329739076662,0.20232227228418004
AKT1_AKT2_AKT3_Akt,454,158,0.8171264376376461,0.7079582914029295,0.9431284627845054,0.00577652933665396,0.017239329739076662,0.20196143766557328
RAF1_C_Raf_pS338,454,158,0.6948474513792893,0.535326124144148,0.9019043885821758,0.0062222058512155795,0.018283712578187318,0.36406295192805904
AKT1S1_PRAS40_pT246,454,158,0.7773330346416113,0.6472693599969442,0.9335319792489314,0.007013904614323174,0.020289623738832488,0.25188640443172405
RAD50_Rad50,454,158,0.8061045451243439,0.6888023986465968,0.9433830935358286,0.00722353096461052,0.020289623738832488,0.21554183629594326
ANXA7_Annexin_VII,454,158,0.8063894340285677,0.6892282186535361,0.9434667671954258,0.007220995010719771,0.020289623738832488,0.21518848439401853
SCD1_SCD1,454,158,0.7939965574788754,0.6706936309947872,0.9399679736830616,0.007385412775380211,0.020443678841994495,0.230676153413323
BAX_Bax,454,158,1.232568870184306,1.0560245412707092,1.438627570074593,0.008023261961125495,0.021892043351070995,0.20910050381925036
BCL2_Bcl_2,454,158,0.8113164826478527,0.694107363263552,0.9483178969910343,0.008625855674481488,0.023204766673605128,0.20909706344599946
