sample_id,score_ecm_remodelling_mean,score_ecm_remodelling,score_hallmark_inflammation_mean,score_hallmark_inflammation,score_inflammatory_response_mean,score_inflammatory_response,score_kinase_activity_mean,score_kinase_activity,score_kinase_signalling_mean,score_kinase_signalling,score_metalloprotease_activity_mean,score_metalloprotease_activity,score_neutrophil_activation_mean,score_neutrophil_activation,score_neutrophil_degranulation_mean,score_neutrophil_degranulation,score_rna_datadriven
TCGA-A3-3319-01,7.899217251521744,0.3672418265618383,8.163113294350635,3.168420919958769,7.954565974408402,-5.658542299995192,8.108025370967761,-3.2630391195845982,7.914566752322499,-7.877335292689664,6.826409796633246,-1.929346931446744,7.582434108993837,-2.8094747360337573,9.081294222526237,-1.9878938927385204,-1.7980629347302337
TCGA-A3-3320-01,7.668033363337542,0.5189310613752235,7.96777428209296,-1.6227091999245191,7.684305109211232,7.425928159735337,8.142501296494897,4.8757125276973134,7.9674403324648075,6.606484262515856,6.532453146396038,2.714160826617714,6.784512067016521,2.710460817268355,8.574162280138282,1.3828987401227368,1.8835807383151102
TCGA-A3-3322-01,7.7616619304471515,0.8242743565556877,7.821946823892758,-2.8760196151539246,7.748219178201776,3.880763200199781,8.173320924169172,2.33544850338308,7.999526837785937,2.5541642010505075,6.663525406966397,1.1988407182332474,6.885544814035633,1.131456100559309,8.564987848740707,0.8247043951405097,0.01727263199383708
TCGA-A3-3323-01,7.920981295105366,-2.7086594379632514,8.153615402509107,2.436228229073529,7.953555146940126,-7.257030126801922,8.435706746848371,4.664415434025198,8.130328211070726,8.018155361388175,6.841462143463115,-1.521944697128707,7.00594780465494,-0.4998282071686263,8.995672930553816,-0.6632489372606827,0.06001526566275736
TCGA-A3-3324-01,7.74669540449703,0.3129559095820218,8.096449547670074,1.3087441517819633,7.798473022448372,-1.9123942311711168,8.11824824435374,2.7545196544181167,8.025856056013026,4.238725518146633,6.555187484394828,2.280532183164306,6.784872494181208,0.5608241436418573,8.806935592206438,0.1705421835581068,0.9841450599224754
TCGA-A3-3325-01,7.921662795428311,-1.736755790977392,8.1707852245301,1.4125520077818539,7.934880485437609,-2.5986438103228044,8.217995304404395,0.36613425306165487,8.101611558110054,2.1685529459219675,6.77527881892018,-0.6650214122401763,7.22413597250332,-0.7869151836139487,8.987225292022686,-0.11729527922190984,0.02332017996966472
TCGA-A3-3326-01,7.668857817323329,4.340722153619393,8.188836590972242,3.834411017586478,7.870256718522794,-4.688130492883043,8.206823210954855,-0.046240758495640064,7.917487787492619,-0.1786578439421091,6.515267793651035,1.956856088435953,7.28505637839536,-2.620806170382277,9.48188676435427,-1.9826499489107832,0.788306327258149
TCGA-A3-3331-01,7.785787131507827,-1.186682353137957,8.196801762912534,2.5243959969954086,7.905874584803452,-2.7059715408415457,8.238787794739315,4.694929119617648,8.052919105201303,6.708761069386877,6.5242531143191425,2.7499225489833252,7.1880882927939025,-0.28872589744978727,9.095148229992418,-0.22220732688715072,1.3428805592411608
TCGA-A3-3335-01,7.826078935831593,2.154875083896307,8.200773389435113,1.2165951148321827,7.8259311782595065,4.302410732969119,8.011191826842749,-4.408899924366672,7.983582318324189,-7.334108952911624,6.548046734596774,1.6705025681344199,7.082450972112011,1.0113009623756553,8.568541506005628,0.6603070662004024,0.9122201668772401
TCGA-A3-3343-01,7.622372599672534,4.9502813093529205,8.102102648085092,2.3938464666987387,7.755431942215834,0.9992273631573837,8.026975708944443,0.3783288204486866,7.855929633700508,-1.0433690322815397,6.39372601463994,3.931983881385049,7.301612009025805,-1.5896740416270114,9.24867182927768,-1.1993295835329814,1.601026382763693
TCGA-A3-3346-01,7.8975392625675,3.2374204679808156,8.469088221021826,5.957598330081676,7.93936466118378,-8.089179656195952,8.017574578153587,-8.97347094422376,7.789638381391276,-19.499318831227118,6.736804941336161,-2.2957921219018416,7.863773468844528,-5.553882071680861,9.25984392690793,-3.1211510327473,-6.0564702653220115
TCGA-A3-3347-01,8.25194264243427,-9.624345810821177,8.699363611251831,8.953700580336907,8.296729126285928,-20.862420256091884,8.684995735284277,2.2992202289021515,8.512871829005027,6.924253875308341,7.328775277313683,-6.400411724409009,7.764107773721813,-4.683495920256291,9.304701140016189,-2.5434621892471605,-3.63721657551707
TCGA-A3-3349-01,7.955486823051091,-2.2295666343063427,7.919679897142541,-1.5253927356484993,7.865467578934484,-1.1843953278593717,8.390302054018651,3.778934839278673,8.190018608539853,8.814443025552869,6.7905473198501545,-0.7096628348647877,7.008097681855411,0.38144599694896686,8.908612790649663,0.26515590338743666,0.3197527383968798
TCGA-A3-3351-01,7.8192874856724535,-2.105893636943088,8.313725363387592,5.98595910628995,7.9639168718918185,-11.476483594008513,8.402852452573581,3.550106494658654,8.137672692044067,6.698858245358758,6.538315820446318,1.3725411399031107,7.159742151397681,-2.852016121600456,9.12822109632922,-1.79397715567852,-0.33981571686913725
TCGA-A3-3352-01,7.8609872001309595,-2.2591996389164217,7.981950571542173,-0.19956494516938625,7.849103213736378,0.05593662719875748,8.101855643175217,1.387782770774856,8.035876667055893,1.8362781164653328,6.565340702322828,0.7746599661174591,7.15984267976688,0.23281031537160912,8.974377358185654,0.48588173586566125,0.704889168714606
TCGA-A3-3357-01,7.6600128591477334,3.629975304891122,7.929895121978523,-0.0013139642464896541,7.797579111313641,1.779186776648887,7.88377379912589,0.024297552303298553,7.7738121641662445,-2.4959945530457546,6.4848049678773645,1.5563815862589432,7.243316107323347,-0.8640442367651371,9.236430586360992,-0.6182891459056431,0.8108954171178162
TCGA-A3-3358-01,7.972619336272184,-3.231423291172924,8.592161752362347,6.859561936880323,8.120966792224266,-10.60564068974436,8.332384899804548,1.079205811542676,8.146163169823486,1.11559083460914,6.845906109388513,-1.4115257485551822,7.548866086149512,-3.415910519389497,9.415531773459048,-1.664597541660227,-0.5507564022300286
TCGA-A3-3359-01,7.714520707093916,0.765347339880497,8.06146014234064,1.07188944356283,7.8463734782145265,-0.5331442701182624,8.15296660310565,2.909633202658048,7.9840305189457395,3.325573226586168,6.584903527671934,1.9301004841532357,7.041128184037198,-0.40316591149244085,9.132163788090978,-0.2373210703427121,1.3503032680593248
TCGA-A3-3362-01,7.990859017864363,-3.0592703821111193,7.984265861271973,-2.5032246244069323,7.938838502581131,3.6625996065907733,8.256415223692382,2.1084803588831966,8.233487307702257,4.089747689881846,6.918490318503993,-1.2932253148051278,7.200925316042916,1.5883147747756583,9.014255442580161,0.7382138465444232,0.6168199083818855
TCGA-A3-3363-01,7.726335483877769,-0.9116586445751563,7.568375323133869,-5.378624788496599,7.67190607558733,7.13514809555711,7.747114181434636,-7.936600543719543,7.706721654237635,-11.92736044478291,6.556071628544148,0.7765593045477481,7.309694341466698,-1.750990997436943,9.481299705734122,-0.8283819072304459,-0.15204441831483181
TCGA-A3-3365-01,7.956909295158227,-7.004614260813836,8.18581283039508,0.743777954993284,7.921278251197611,-0.1869698201374555,8.393315222933781,5.242763275127686,8.318570872174446,10.863634168826868,6.713803969190143,-0.0609791183376864,6.732931297561476,2.7526829001720032,8.568059634986113,2.8785368669599234,0.1509288891551316
TCGA-A3-3367-01,7.788410174475871,-0.17188079780393525,8.010956085858972,-0.19004454793464667,7.82126131285724,0.6839978802058273,8.233873639481867,3.6273499299161767,8.004234732875421,3.8715288520365747,6.662898300511565,1.243698752098638,6.898313292976874,0.7821905017064722,9.119307677163732,0.4023892097153514,0.9772048595652858
TCGA-A3-3370-01,7.896507220328068,-4.070413094072996,8.167509634517504,2.3083684276453162,7.973001032332747,-6.9322658559151185,8.34698100528096,4.686142665222393,8.206088618436262,8.781221412284163,6.6758000140868345,0.09725138025423488,6.970513314819407,-0.2900606995115514,9.085973730964708,-0.6927865221618981,0.7688822980422793
TCGA-A3-3372-01,7.744520111408494,-1.2713681986266807,7.987703799332946,0.2769062036110282,7.771366106427454,-1.954017816709231,8.35663602128386,6.360139116724049,8.138119579657532,10.745124996748933,6.586212366333596,1.5541751227407923,6.699846699567625,1.5458560840306887,8.478961966898305,0.9317663349025477,0.03945728361411486
TCGA-A3-3373-01,7.782187450055289,1.0995887025698723,7.8571365377135995,-3.0826937107040497,7.758527080914172,7.533557987650136,8.132309240527649,4.773490211106526,8.057108323282817,6.671630797035372,6.618381619046735,3.1980210665548676,6.910047993008807,1.6334329442960667,8.633029818551009,0.7979149863454115,1.6069662820996262
TCGA-A3-3374-01,7.73408572144063,0.7495430824663658,8.001213836459268,-0.33590949667451775,7.6277353960838745,12.557659264909557,7.84887171445828,-8.891090362715506,7.793102010774354,-16.73210930848831,6.430886431306393,1.1507092985584237,7.724843574384192,-5.850664214934446,10.16673889283629,-4.571444738869904,1.2025929789926413
TCGA-A3-3376-01,7.960890478239793,-7.351525321882578,8.157916028877178,1.796587147845884,7.985034323153034,-8.078394613241727,8.537327114900428,8.723704622068805,8.321821884544558,16.662369819577357,6.722992217259223,-0.46959518249775256,7.181369244051548,-0.791555834630342,9.006013281942154,-0.2590692131461852,0.29979209924544126
TCGA-A3-3378-01,7.870152926047639,-2.8828242660665184,8.58328674539809,8.906809220979666,8.086324587681977,-15.807461454549614,8.272966683415351,1.6627093388282448,7.967660989032858,2.08942274926085,6.8053783261164815,-1.025006056784204,7.74965931516309,-4.9111570362173556,9.327693798091673,-2.6565103419934224,-0.958215039209002
